ϻ�SG_UF;SG_UE;NM_UE;CD_CARGO;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;DS_SIT_TOT_TURNO
SP;67130;MOGI DAS CRUZES;11;PREFEITO;43;SONIA MARIA VENEZIANI RIBEIRO;SONIA NOGUEIRA;43;PV;PARTIDO VERDE;8;RENASCE A ESPERANÇA;PRTB / PV;NÃO ELEITO
SP;65510;ITAPEVI;11;PREFEITO;23;MARIA RUTH BANHOLZER;DRA RUTH;23;PPS;PARTIDO POPULAR SOCIALISTA;1; COLIGAÇÃO POPULAR DE RENOVAÇÃO ;PT / PPS / PSB / PC do B ;NÃO ELEITO
SP;71072;SAO PAULO;11;PREFEITO;40;LUIZA ERUNDINA DE SOUSA;LUIZA ERUNDINA;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;5;SÃO PAULO SOMOS NÓS;PSB / PPS / PDT / PMN ;NÃO ELEITO
SP;67130;MOGI DAS CRUZES;11;PREFEITO;45;JUNJI ABE;JUNJI;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;12;UNIÃO POR MOGI;PTB / PFL / PSDB ;ELEITO
SP;64777;GUARULHOS;11;PREFEITO;21;MARINA ANGELO;MARINA ANGELO;21;PCB;PARTIDO COMUNISTA BRASILEIRO;-1;PARTIDO ISOLADO;PCB;NÃO ELEITO
SP;64777;GUARULHOS;11;PREFEITO;31;JOAO LUIZ LEITE;JOÃO LEITE;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;-1;PARTIDO ISOLADO;PHS;NÃO ELEITO
SP;64777;GUARULHOS;11;PREFEITO;20;CELSA VILACHA GONZALEZ CARDILLO;CELSA GONZALEZ;20;PSC;PARTIDO SOCIAL CRISTÃO;-1;PARTIDO ISOLADO;PSC;NÃO ELEITO
SP;70378;SANTA ISABEL;11;PREFEITO;31;EDNA IANNETTA DEL BUSSO;EDNA;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;-1;PARTIDO ISOLADO;PHS;NÃO ELEITO
SP;64777;GUARULHOS;11;PREFEITO;21;BETTY DEVID DE SOUZA PERES;DONA BETTY;21;PCB;PARTIDO COMUNISTA BRASILEIRO;-1;PARTIDO ISOLADO;PCB;NÃO ELEITO
SP;63614;COTIA;11;PREFEITO;22;PLAISANT CASTELO BRANCO;CASTELLO BRANCO;22;PL;PARTIDO LIBERAL;-1;PARTIDO ISOLADO;PL;NÃO ELEITO
SP;71510;SUZANO;11;PREFEITO;13;MARCELO DE SOUZA CANDIDO;MARCELO CANDIDO;13;PT;PARTIDO DOS TRABALHADORES;3;FRENTE SUZANO SEM EXCLUSÃO;PT / PSTU / PSB ;NÃO ELEITO
SP;62138;BARUERI;11;PREFEITO;25;GILBERTO MACEDO GIL ARANTES;GIL;25;PFL;PARTIDO DA FRENTE LIBERAL;2;O TRABALHO CONTINUA;PFL / PST / PMDB / PPB / PTB / PMN / PSB / PL / PSDC / PSD / PSDB / PHS ;ELEITO
SP;66257;JUQUITIBA;11;PREFEITO;25;AYRES SCORSATTO;AYRES SCORSATTO;25;PFL;PARTIDO DA FRENTE LIBERAL;1;A MUDANÇA QUE DEU CERTO;PL / PFL ;ELEITO
SP;65455;ITAPECERICA DA SERRA;11;PREFEITO;26;VICENTE LEITE DE SOUZA;VICENTE LEITE DE SOUZA;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO;-1;PARTIDO ISOLADO;PAN;NÃO ELEITO
SP;71510;SUZANO;11;PREFEITO;31;JOSE RENATO DA SILVA;ZE RENATO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;1;COLIGAÇÃO SOLIDARIA;PSL / PHS / PSD ;NÃO ELEITO
SP;64297;FRANCO DA ROCHA;11;PREFEITO;13;MARIO MAURICI DE LIMA MORAIS;MAURICI;13;PT;PARTIDO DOS TRABALHADORES;3;FRENTE POPULAR DE FRANCO DA ROCHA;PT / PMN / PC do B / PSDC / PSB / PPS ;NÃO ELEITO
SP;62316;BIRITIBA MIRIM;11;PREFEITO;12;ROBERTO PEREIRA DA SILVA;JACARE;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;1; MORALIZAR PARA GOVERNAR ;PDT / PV / PC do B;ELEITO
SP;62316;BIRITIBA MIRIM;11;PREFEITO;22;BENEDITO FREITAS;BENEDITO FREITAS;22;PL;PARTIDO LIBERAL;3; SEMPRE UNIDOS POR BIRITIBA ;PL / PSDB / PMDB / PRP / PGT / PTN / PPS ;NÃO ELEITO
SP;63770;DIADEMA;11;PREFEITO;13;JOSÉ DE FILIPPI JUNIOR;FILIPPI;13;PT;PARTIDO DOS TRABALHADORES;8;FRENTE DEMOCRÁTICO POPULAR;PT / PSTU / PC do B;2º TURNO
SP;64017;EMBU;11;PREFEITO;12;NIVALDO ORLANDI;NIVALDO ORLANDI;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;7;MUTIRÃO;PDT / PSDB / PPS / PL ;NÃO ELEITO
SP;70378;SANTA ISABEL;11;PREFEITO;15;MARIA ANGELA SANCHES;ANGELA;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;6;SANTA ISABEL PARA TODOS;PMDB / PT / PDT / PST / PMN / PL / PSD / PRTB ;NÃO ELEITO
SP;66710;MAIRIPORA;11;PREFEITO;45;SARKIS TELLIAN;SARKIS;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;3;EXPERIÊNCIA E TRABALHO - PSDB, PSD, PTB, PPB, PL;PSDB / PSD / PTB / PPB / PL;NÃO ELEITO
SP;68977;POA;11;PREFEITO;44;JOSÉ WILSON CAVALETTI;CAVALETTI;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;-1;PARTIDO ISOLADO;PRP;NÃO ELEITO
SP;64297;FRANCO DA ROCHA;11;PREFEITO;14;ROBERTO SEIXAS;ROBERTO SEIXAS;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;5;CONFIANÇA NO FUTURO;PTB / PMDB / PFL / PTN / PGT / PST / PRP / PPB / PDT / PSC ;ELEITO
